code,name,parent_code,wbs_level,sequence,duration_days,cost_labor,cost_material,planned_start,planned_end,actual_start,actual_end,status,percent_complete,is_milestone,description,notes
4.3,Gutters & Downspouts,4,2,3,2,,,,,,,not_started,0,false,Install gutters and downspouts,
5,Building Envelope,,1,6,10,,,,,,,not_started,0,true,"Exterior sheathing, WRB, windows, doors",
5.1,Exterior Wall Sheathing,5,2,1,2,,,,,,,not_started,0,false,Install or complete wall sheathing,
5.2,Weather-Resistive Barrier,5,2,2,3,,,,,,,not_started,0,false,Housewrap and WRB,
5.2.1,Housewrap Installation,5.2,3,1,2,,,,,,,not_started,0,false,Wrap walls,
5.2.2,WRB Taping & Flashing,5.2,3,2,1,,,,,,,not_started,0,false,Tape seams and flash openings,
5.3,Window Installation,5,2,3,4,,,,,,,not_started,0,false,Install windows,
5.3.1,Rough Opening Prep,5.3,3,1,1,,,,,,,not_started,0,false,Prep openings,
5.3.2,Set Windows,5.3,3,2,2,,,,,,,not_started,0,false,Install windows,
5.3.3,Flashing & Sealant,5.3,3,3,1,,,,,,,not_started,0,false,Flash and seal windows,
5.4,Exterior Doors,5,2,4,3,,,,,,,not_started,0,false,Install exterior doors,
5.4.1,Entry Doors,5.4,3,1,2,,,,,,,not_started,0,false,Install main entrances,
5.4.2,Patio / Sliding Doors,5.4,3,2,1,,,,,,,not_started,0,false,Install patio/sliding doors,
5.5,Penetrations & Sealants,5,2,5,1,,,,,,,not_started,0,false,Seal penetrations and joints,
6,Exterior Finishes,,1,7,12,,,,,,,not_started,0,true,"Siding, trim, and paint",
6.1,Siding & Cladding,6,2,1,7,,,,,,,not_started,0,false,Install siding,
6.1.1,Starter & Trim,6.1,3,1,2,,,,,,,not_started,0,false,Install starter strips and trim,
6.1.2,Field Siding,6.1,3,2,4,,,,,,,not_started,0,false,Install siding field,
6.1.3,Caulking,6.1,3,3,1,,,,,,,not_started,0,false,Caulk joints and penetrations,
6.2,Exterior Painting / Stain,6,2,2,4,,,,,,,not_started,0,false,Prime and finish coat,
6.2.1,Prime Coat,6.2,3,1,2,,,,,,,not_started,0,false,Prime exterior surfaces,
6.2.2,Finish Coats,6.2,3,2,2,,,,,,,not_started,0,false,Finish coats,
6.3,Soffits & Fascia Finish,6,2,3,2,,,,,,,not_started,0,false,Finish soffits and fascia,
7,Rough MEP,,1,8,14,,,,,,,not_started,0,true,"Rough plumbing, electrical, HVAC",
7.1,Rough Plumbing,7,2,1,5,,,,,,,not_started,0,false,Plumbing rough-in,
7.1.1,Water Supply Rough-In,7.1,3,1,2,,,,,,,not_started,0,false,Domestic water lines,
7.1.2,Waste & Vent Rough-In,7.1,3,2,3,,,,,,,not_started,0,false,"Drain, waste, and vent",
7.2,Rough HVAC,7,2,2,5,,,,,,,not_started,0,false,Ducts and HVAC rough,
7.2.1,Ductwork Installation,7.2,3,1,3,,,,,,,not_started,0,false,Install ducts,
7.2.2,Refrigerant Lines & Condensate,7.2,3,2,2,,,,,,,not_started,0,false,Run line sets and condensate,
7.3,Rough Electrical,7,2,3,6,,,,,,,not_started,0,false,Electrical rough-in,
7.3.1,Main Service Rough-In,7.3,3,1,2,,,,,,,not_started,0,false,Service and panel rough,
7.3.2,Branch Circuit Rough-In,7.3,3,2,3,,,,,,,not_started,0,false,Branch wiring and boxes,
7.3.3,Low Voltage Rough-In,7.3,3,3,1,,,,,,,not_started,0,false,"Data, security, and AV rough",
7.4,Rough-In Inspections,7,2,4,2,,,,,,,not_started,0,false,"Plumbing, mechanical, and electrical inspections",
8,Insulation & Air Sealing,,1,9,7,,,,,,,not_started,0,true,Insulate and seal the building,
8.1,Air Sealing,8,2,1,2,,,,,,,not_started,0,false,Seal penetrations and joints,
8.2,Wall Insulation,8,2,2,3,,,,,,,not_started,0,false,Install cavity insulation in walls,
8.3,Ceiling / Roof Insulation,8,2,3,2,,,,,,,not_started,0,false,Install attic or roof insulation,
8.4,Sound Insulation,8,2,4,2,,,,,,,not_started,0,false,Sound batts in key partitions,
9,Drywall & Interior Partitions,,1,10,10,,,,,,,not_started,0,true,Drywall hanging and finishing,
9.1,Interior Framing Adjustments,9,2,1,2,,,,,,,not_started,0,false,Final framing tweaks,
9.2,Drywall Hanging,9,2,2,4,,,,,,,not_started,0,false,Hang gypsum board,
9.3,Taping & Finishing,9,2,3,3,,,,,,,not_started,0,false,"Tape, mud, and sand",
9.4,Texture / Level 5 (if any),9,2,4,1,,,,,,,not_started,0,false,Final surface prep,
10,Interior Finishes,,1,11,18,,,,,,,not_started,0,true,"Interior trim, paint, and finishes",
10.1,Interior Doors & Hardware,10,2,1,3,,,,,,,not_started,0,false,Hang doors and hardware,
10.2,Trim & Millwork,10,2,2,5,,,,,,,not_started,0,false,"Base, casing, and trim",
10.3,Cabinets & Countertops,10,2,3,5,,,,,,,not_started,0,false,Install cabinets and counters,
10.3.1,Kitchen Cabinets,10.3,3,1,3,,,,,,,not_started,0,false,Install kitchen cabinets,
10.3.2,Bath & Laundry Cabinets,10.3,3,2,2,,,,,,,not_started,0,false,Install bath and laundry cabinets,
10.4,Flooring,10,2,4,5,,,,,,,not_started,0,false,Finish flooring,
10.4.1,Tile Flooring,10.4,3,1,2,,,,,,,not_started,0,false,Tile in baths and entries,
10.4.2,Wood / Laminate Flooring,10.4,3,2,2,,,,,,,not_started,0,false,Wood or laminate in living areas,
10.4.3,Carpet,10.4,3,3,1,,,,,,,not_started,0,false,Carpet where specified,
10.5,Interior Painting,10,2,5,5,,,,,,,not_started,0,false,"Prime and paint walls, ceilings, trim",
10.6,Closet Shelving & Accessories,10,2,6,2,,,,,,,not_started,0,false,"Install rods, shelves, and accessories",
11,Finish MEP & Appliances,,1,12,10,,,,,,,not_started,0,true,Fixture trims and appliances,
11.1,Plumbing Fixture Set,11,2,1,3,,,,,,,not_started,0,false,"Install toilets, lavs, faucets",
11.2,Electrical Devices & Fixtures,11,2,2,4,,,,,,,not_started,0,false,"Install switches, outlets, lights",
11.3,HVAC Trim & Balancing,11,2,3,2,,,,,,,not_started,0,false,"Registers, grilles, thermostat and balancing",
11.4,Appliance Installation,11,2,4,1,,,,,,,not_started,0,false,Install kitchen and laundry appliances,
12,Exterior Improvements,,1,13,12,,,,,,,not_started,0,true,"Hardscape, landscape, and site finishes",
12.1,Flatwork (Drives & Walks),12,2,1,4,,,,,,,not_started,0,false,"Driveways, walks, and patios",
12.2,Decks & Porches,12,2,2,4,,,,,,,not_started,0,false,Exterior decks and porches,
12.3,Landscaping & Irrigation,12,2,3,3,,,,,,,not_started,0,false,"Planting, soil, and irrigation",
12.4,Fencing & Gates,12,2,4,3,,,,,,,not_started,0,false,Perimeter fences and gates,
13,"Testing, Inspections & Commissioning",,1,14,7,,,,,,,not_started,0,true,Final inspections and commissioning,
13.1,Building Final Inspection,13,2,1,2,,,,,,,not_started,0,false,Final building inspection,
13.2,MEP Final Inspections,13,2,2,2,,,,,,,not_started,0,false,"Final plumbing, electrical, HVAC inspections",
13.3,Systems Testing & Commissioning,13,2,3,2,,,,,,,not_started,0,false,Test and commission systems,
13.4,Occupancy Certification,13,2,4,1,,,,,,,not_started,0,false,Obtain CO or equivalent,
14,Punch List & Closeout,,1,15,7,,,,,,,not_started,0,true,Final punch list and turnover,
14.1,Owner Punch List Walkthrough,14,2,1,2,,,,,,,not_started,0,false,Walk with owner and record items,
14.2,Punch List Corrective Work,14,2,2,3,,,,,,,not_started,0,false,Address punch list items,
14.3,Final Cleaning,14,2,3,1,,,,,,,not_started,0,false,Final detailed cleaning,
14.4,Turnover & Documentation,14,2,4,1,,,,,,,not_started,0,false,"Provide manuals, keys, and turnover docs",
