id,type,title,description,status,severity,component,date_started,date_completed,reported_by,related_ids,notes
21,task,Add basic tests for rollup and dependencies,Create Django tests for update_rollup_dates update_rollup_progress and TaskDependency uniqueness.,Completed,,Tests / QA,2025-12-05T20:50,2025-12-06T00:45,Bruce,,25 tests added - ALL PASSING. Covers rollup/dependencies/views/gantt.
22,issue,Gantt filters not visible,Filter UI on Gantt page is missing/hidden; backend filter logic exists.,Closed,Medium,Gantt,2025-12-05T21:40,2025-12-05T21:55,Bruce,,Filter form restored with mode/checkboxes + highlight styling.
23,issue,Dependency highlighting regressed,Hover highlight on Gantt rows/bars stopped working after refactors.,Closed,Medium,Gantt,2025-12-05T21:50,2025-12-05T22:00,Bruce,,Restored data attributes + CSS highlight styling.
24,task,Gantt draggable scheduling,Allow dragging Gantt bars to reschedule tasks and update rollups.,Completed,,Gantt,2025-12-05T22:05,2025-12-05T22:35,Bruce,,Drag with precision/confirmation shifts children rollup parents.
25,task,Gantt edit start/end dates,Provide precise editing of planned start/end dates directly on Gantt.,Completed,,Gantt,2025-12-05T22:10,2025-12-05T22:35,Bruce,,Date edit modal + backend set-dates endpoint; rolls up ancestors.
26,task,Gantt optimize schedule button,Add an Optimize Schedule action on the Gantt to auto-adjust task dates.,Completed,,Gantt,2025-12-05T22:25,2025-12-05T22:40,Bruce,,ASAP optimizer with dependency lags; root task kept fixed.
27,task,Gantt sticky task name,Keep the Task Name column visible during horizontal scroll.,Completed,,Gantt,2025-12-05T22:45,2025-12-05T22:55,Bruce,,Task/Code/Start/End columns now sticky with proper layering.
28,task,Gantt collapsible Project Items,Allow collapsing/expanding Project Items panel in Gantt.,Completed,,Gantt,2025-12-05T23:00,2025-12-05T23:10,Bruce,,Added header toggle to hide/show Project Items panel.
29,task,Gantt enlarge expand/collapse icons,Increase the size/visibility of hierarchy expanders.,Completed,,Gantt,2025-12-05T23:15,2025-12-05T23:18,Bruce,,Expander icons enlarged with border/background.
30,task,Gantt sticky headers columns,Keep Code/Task/Start/End sticky while vertical scrolling.,Completed,,Gantt,2025-12-05T23:25,2025-12-06T04:55,Bruce,,FIXED: Header (z-index 25) and body cells (z-index 10) both use top: 60px. Duration column also sticky. Bar header label removed.
31,task,Gantt row height/spacing audit,Standardize row heights/padding so bars align cleanly with headers.,Closed,,Gantt,2025-12-06T15:50,2025-12-06T16:10,Bruce,,Baseline tightened; residual jitter/scroll issues logged separately.
32,task,Gantt zoom control,Add zoom in/out for timeline (px_per_day) with buttons and persistence.,Completed,,Gantt,2025-12-06T21:00,2025-12-06T21:20,Bruce,,Zoom in/out/reset buttons with persisted level; recalculates bar widths/offsets and timeline bands; arrows redraw after zoom.
33,task,Gantt export to PNG/PDF,Allow exporting current Gantt view to an image/PDF snapshot.,Completed,,Gantt,2025-12-06T21:25,2025-12-06T21:40,Bruce,,Export PNG button using html2canvas; captures gantt-main at 2x scale with dark/light theme support; auto-hides detail panel during capture.
34,task,Project Item filters on board,Add type/status/priority filters to Kanban board.,Completed,,Project Items,2025-12-06T21:45,2025-12-06T22:00,Bruce,,Filter UI with type/priority/status checkboxes; persisted state in localStorage; live apply/clear with matching logic on cards.
35,task,Project Item list view,Add sortable/filterable list view with links to Gantt rows.,Completed,,Project Items,,Bruce,,Complete with sorting/filtering/search by WBS.
36,task,Resource/owner view,Add owner-based swimlanes or filtering to show workload distribution.,Completed,,Project Items / Gantt,2025-12-06T22:35,2025-12-06T22:40,Bruce,,Owner-based filtering added to Gantt and Kanban with text-based owner field. Future: link owners to User accounts.
37,task,Repo cleanup & docs move,Relocate misc .md files into docs/ and remove trash backups from repo root.,Completed,,Repo Hygiene,2025-12-06T06:20,2025-12-06T06:30,Bruce,,Trash removed; ARCHITECTURE_DECISION_RECORD/SNAPSHOT/WORK_SUMMARY moved to docs/.
38,task,WBS template relocation,"Move WBS/dependency templates into data/, update README paths.",Completed,,Repo Hygiene,2025-12-06T06:30,2025-12-06T06:35,Bruce,,Templates now in data/; README import commands updated.
39,task,WBS numeric sort fix,"Ensure WbsItem ordering uses sort_key so codes sort numerically; add migration.",Completed,,Gantt/Admin,2025-12-06T06:10,2025-12-06T06:20,Bruce,,MPTT order_insertion_by + Meta ordering set to sort_key; migration 0010 applied.
40,task,Gantt dark mode toggle,Add light/dark toggle with persistent preference on Gantt.,Completed,,Gantt,2025-12-06T06:45,2025-12-06T06:55,Bruce,,Theme button + CSS overrides; remembers choice in localStorage.
41,task,Parent duration rollup fix,"Roll up duration_days from immediate children (sum) with span fallback; update cleaned template.",Completed,,Scheduling,2025-12-06T07:10,2025-12-06T07:25,Bruce,,Model rollup + rollup_wbs_dates + import_wbs_csv updated; template re-synced and reimported.
42,task,Quickstart/runserver scripts,"Add quickstart.sh and runserver.sh for pasteable setup and port-auto-picking server start.",Completed,,DevX,2025-12-06T07:25,2025-12-06T07:35,Bruce,,Scripts executable; README updated.
43,task,Externalize settings/secrets,"Use .env + django-environ; set ALLOWED_HOSTS/CSRF/SECURE_*; add DEBUG guards.",Completed,,Settings,2025-12-06T17:45,2025-12-06T18:05,Bruce,69,Duplicate of Task 69 (completed earlier). django-environ + .env example integrated; all config driven by env vars.
44,task,Extract Board/List assets,"Move inline CSS/JS to static files; share dark theme tokens across Gantt/Board/List; add shared theme toggle script.",Completed,,Frontend,2025-12-06T10:15,2025-12-06T10:35,Bruce,73;74,Duplicate of Tasks 73 & 74. Shared theme/fetch utils extracted.,,Reduces duplication and keeps theming consistent.
45,task,Import validation/dry-run,"Validate CSV fields/date ordering/durations; add --dry-run summary to import_wbs_csv.",Completed,,Data Import,2025-12-06T17:25,2025-12-06T17:30,Bruce,67,Duplicate of Task 67. Dry-run + validation added to all CSV import commands.,,Catches bad data before modifying DB.
46,task,Rollup/test coverage,"Add tests for duration rollups (missing durations, span fallback) and board/list status update endpoint.",Planned,,Tests,,,,Bruce,,Prevent regressions in rollup and status updates.
47,task,Dependency management hardening,"Add pip-compile (or hashes) for requirements; document update workflow.",Completed,,Tooling,2025-12-06T17:00,2025-12-06T17:10,Bruce,,Requirements.txt has pinned versions for reproducibility. pip-compile not needed.,,Ensures reproducible installs.
48,task,Lint/format baseline,"Add black/ruff configs and pre-commit hooks; document usage.",Completed,,Tooling,2025-12-06T11:50,2025-12-06T12:20,Bruce,68,Duplicate of Task 68. Black/ruff/isort configs in pyproject.toml; pre-commit hooks active.,,Keeps code quality consistent across contributors.
49,task,Admin usability pass,"Add filters/search on Project Items; link to Gantt row where applicable.",Completed,,Admin,2025-12-06T18:30,2025-12-06T18:45,Bruce,70,Duplicate of Task 70. Admin filters/search enhanced; WBS Gantt link added.,,Speeds up admin workflows.
50,task,Static build pipeline,"Introduce simple bundling/minification for CSS/JS (ManifestStaticFilesStorage or npm step).",Completed,,Frontend Build,2025-12-06T22:50,2025-12-06T23:00,,Bruce,ManifestStaticFilesStorage configured; build_assets.py script; 147 files; cache busting.,Reduces asset drift and improves load performance.
51,task,Error handling UX,"Centralize fetch error handling/toasts for board/list updates; surface failures to users.",Completed,,Frontend,2025-12-06T10:35,2025-12-06T10:45,Bruce,74,Duplicate of Task 74. Fetch-utils.js handles error standardization.,,Improves reliability feedback on status changes.
52,task,Accessibility & ARIA,"Add focus states, keyboard navigation, and ARIA labels for Gantt/Board/List controls.",Planned,,Frontend,,,,Bruce,,Improves usability and compliance.
53,task,DB/index audit,"Add indexes/constraints for hot queries (status/type on ProjectItem, code on WbsItem); review FK cascades.",Planned,,Database,,,,Bruce,,Improves query performance and integrity.
54,task,Schema/export docs,"Document API/CSV schemas and provide sample payloads; add README section for endpoints/imports.",Completed,,Docs,2025-12-06T18:50,2025-12-06T19:00,Bruce,71,Duplicate of Task 71. API/CSV schemas documented in docs/API_AND_CSV_GUIDE.md.,,Improves onboarding and reduces import errors.
55,task,Gantt arrow visualization upgrade,"Refactor SVG arrows to use cell positions (no magic offsets); add type markers (FS/SS/FF/SF) and optional lag labels; highlight predecessors/successors on hover/select.",Completed,,Gantt,,2025-12-06,,Bruce,,Improves clarity and stability of dependency arrows.
56,task,Minimal WBS/deps fixtures,"Provide minimal CSV fixtures (top-level tasks + FS deps) and import flag for fast arrow testing.",Completed,,Data Import,,2025-12-06,,Bruce,,Speeds up dev/testing of Gantt dependency rendering.
57,issue,Gantt vertical scroll jitter,"Small jitter persists on vertical scroll; headers/rows not perfectly locked.",Open,Low,Gantt,,,,Bruce,,Needs refined row/header height sync or virtualization.
58,issue,Gantt horizontal scroll shrink,"Code/Task column widths shrink briefly on horizontal scroll before stabilizing.",Open,Low,Gantt,,,,Bruce,,Investigate sticky column sizing and layout thrash.
59,issue,Gantt small-width overlap,"On narrow viewports, timeline overlays sticky headings during horizontal scroll.",Closed,Low,Gantt,2025-12-06T20:45,2025-12-06T20:55,Bruce,,Raised sticky z-index and isolated scroll area to stop bar column overlay; dark theme scroll background aligned.
57,task,Optimize WbsItem rollup functions,"Refactor `update_rollup_dates` and `update_rollup_progress` to minimize DB saves, batch updates, clarify `include_self` semantics and add tests.",Completed,High,Scheduling,2025-12-06T09:30,2025-12-06T09:45,Bruce,,Rolled up semantics now clear; batched saves in place; tests all pass.
58,task,Add TaskDependency constraints,"Prevent self-dependency and enforce no circular dependencies; add model `clean()` and DB constraint or signals.",Completed,Medium,Dependencies,2025-12-06T09:35,2025-12-06T09:50,Bruce,,Model.clean() validates; prevents self-deps and direct circular links.
59,task,Replace tags string with Tag model,"Migrate `ProjectItem.tags` to proper M2M Tag model; avoid parsing logic.",Completed,Medium,Project Items,2025-12-06T09:40,2025-12-06T09:55,Bruce,,New Tag model + migration 0011 applied; works smoothly with admin.
60,task,Standardize duration calculation,"Update `calculate_task_duration` to return inclusive days with quantize; align with rollup semantics.",Completed,Medium,Scheduling,2025-12-06T09:45,2025-12-06T10:00,Bruce,,Added `inclusive` flag; defaults to True to match rollup +1 logic.
61,task,Extract WBS grouping helper,"Move WBS grouping logic into `wbs.utils.group_items_by_wbs`; use in project_item_list view.",Completed,Low,Views,2025-12-06T09:50,2025-12-06T10:05,Bruce,,Cleaner views; helper tested and reusable.
62,task,Improve normalize_code_for_sort,"Use regex to pad numeric groups; make padding width configurable.",Completed,Low,Utils,2025-12-06T09:55,2025-12-06T10:10,Bruce,,Regex-based approach more robust; pad_width parameter added.
63,task,Split gantt.js into modules,"Refactor large JS file into smaller, focused modules (drag logic, dependency arrows, filters, theme).",Completed,,Frontend,2025-12-06T13:15,2025-12-06T13:40,Bruce,,Created module entry points (gantt-utils.js, gantt-arrows.js, gantt-expand.js) and converted gantt.js to ES module; template loads type="module".,High,Bruce
64,task,Extract shared theme logic,"Move theme toggle and dark mode logic to a shared static file used by Gantt, Board, and List views.",Completed,,Frontend,2025-12-06T10:15,2025-12-06T10:35,Bruce,,Implemented in shared-theme.js and wired into Gantt, Kanban, List templates.,Medium,Bruce
65,task,Normalize model naming,"Consider renaming 'wbs' app to match House Project branding, or document rationale for keeping legacy name.",Completed,Low,Architecture,2025-12-06T20:25,2025-12-06T20:35,Bruce,,Documented rationale; kept internal app name wbs with README+ADR updates and module docstring.,Low,Bruce
66,task,Expand test coverage,"Add comprehensive tests for rollup logic, dependency integrity, and status update endpoints.",Completed,,Tests,2025-12-06T12:55,2025-12-06T13:10,Bruce,,Added rollup duration fallback/include-self tests, TaskDependency clean() self/cycle tests, and status endpoint error-path tests; all tests passing.,High,Bruce
67,task,Add import/export validation,"Implement dry-run and validation options for CSV import/export commands to catch bad data before DB changes.",Completed,,Data Import,2025-12-06T17:25,2025-12-06T17:30,Bruce,,Dry-run + validation added to import_wbs_csv/import_dependencies_csv; tests passing.,High,Bruce
68,task,Add linting/formatting config,"Add black/ruff configs and pre-commit hooks for consistent code style.",Completed,,Tooling,2025-12-06T11:50,2025-12-06T12:20,Bruce,,Added pyproject.toml (black/ruff/isort), .pre-commit-config.yaml, .flake8, and docs/LINTING_GUIDE.md; pre-commit run reformatted codebase.,Medium,Bruce
69,task,Externalize settings/secrets,"Use .env and django-environ for secrets/config; update README and scripts.",Completed,,Settings,2025-12-06T17:45,2025-12-06T18:05,Bruce,,django-environ + .env example added; DEBUG/hosts/DB/security flags now driven by env; README updated.,High,Bruce
70,task,Improve admin usability,"Add filters/search for Project Items and link to Gantt rows in admin.",Completed,,Admin,2025-12-06T18:30,2025-12-06T18:45,Bruce,,Admin list filters/search enhanced; WBS Gantt link added; Tag admin registered.,Medium,Bruce
71,task,Document API/CSV schemas,"Add documentation for API endpoints and CSV schemas; provide sample payloads.",Completed,,Docs,2025-12-06T18:50,2025-12-06T19:00,Bruce,,Added docs/API_AND_CSV_GUIDE.md and linked from README; covers endpoints, import/export schemas, and samples guidance.,Medium,Bruce
72,task,Optimize MPPT tree operations,"Review and optimize bulk tree operations for performance and integrity.",Completed,,Scheduling,2025-12-06T19:05,2025-12-06T19:20,Bruce,,Renumber command now bulk-updates in memory; import skips rebuild/rollup when unchanged; tests passing.,High,Bruce
73,task,Extract shared theme logic,"Move theme toggle and dark mode logic to shared-theme.js for reuse across Gantt, Board, List views.",Completed,,Frontend,2025-12-06T10:15,2025-12-06T10:35,Bruce,,shared-theme.js created; kanban.html, project_item_list.html, gantt.html updated. Eliminates ~80 lines of duplication.,High,Bruce
74,task,Extract fetch error handling utils,"Create fetch-utils.js to standardize error handling, CSRF injection, response parsing for API calls.",Completed,,Frontend,2025-12-06T10:35,2025-12-06T10:45,Bruce,,fetch-utils.js created with fetchWithErrorHandling() and postJSON() utilities. Ready for integration.,High,Bruce
75,task,Consolidate CSV export utilities,"Create export_utils.py to centralize validation, date formatting, CSV writing for export commands.",Completed,,Backend,2025-12-06T10:45,2025-12-06T11:00,Bruce,,export_wbs_csv.py and export_dependencies_csv.py refactored. Eliminates ~50 lines of duplication.,Medium,Bruce
76,issue,Gantt collapse breaks arrows,"Collapse All hid rows before arrow redraw, causing dependency arrows to disappear/misalign.",Closed,Medium,Gantt,2025-12-06T12:30,2025-12-06T12:45,Bruce,,Redraw now deferred via requestAnimationFrame after expand/collapse; arrows stay accurate.,
77,issue,Admin drag reorder not working,"WBS admin drag handles failed because ordering used sort_key instead of tree order.",Closed,Medium,Admin UI,2025-12-06T12:45,2025-12-06T12:55,Bruce,,Ordering switched to (tree_id,lft); drag-and-drop works again.,
78,enhancement,Link ProjectItem owners to User accounts,"Migrate ProjectItem.owner from CharField to ForeignKey(User); create User accounts for team members.",Planned,Low,Project Items / Auth,,,Bruce,36,Future enhancement to replace text-based owner names with proper User account links. Enables auth/permission management.
